BAIRRO,LATITUDE,LONGITUDE
Nossa Senhora do Amparo,-22.569275593535654,-47.420808696666406
Nova Conquista,-22.573035273181926,-47.36798382457234
Nova Europa,-22.581548545686633,-47.41525510582406
Nova Itália,-22.55905305629821,-47.422310253407524
Nova Limeira,-22.54499205603619,-47.37309708635612
Nova Suíça,-22.56851148953978,-47.38375632869951
Nova,-22.558083990929543,-47.36966581985347
Novo Bandeirantes,-22.56277526776445,-47.452285277112914
Novo Horizonte,-22.589399912551873,-47.37864896544661
Novo Mundo,-22.59313924496285,-47.39744446846316
Odécio Degan,-22.61382083800258,-47.415363156464224
Olga Veroni,-22.57867905223018,-47.369109352914364
Orestes Veroni,-22.570195705401918,-47.38841366524267
Ouro Branco,-22.591809796492225,-47.4213775259115
Ouro Verde,-22.58512277152568,-47.420426462503436
Paineiras,-22.59251983847227,-47.43272067969196
Palmeira Real,-22.62921752407231,-47.435344606852304
Palmeiras,-22.728088855725055,-47.362255632188436
Palmira,-22.58635261305517,-47.39860067353713
Paraíso,-22.560339309370303,-47.40825721004558
Paulista,-22.558475599854763,-47.42596266314149
Pérola,-22.56344433950144,-47.43839673079796
Piratininga,-22.55739443668186,-47.41518575681504
Piza,-22.56301045186502,-47.38301175196235
Planalto,-22.545761961096904,-47.39125627066196
Portal das Flores,-22.598210588352824,-47.38628943701304
Portal das Rosas,-22.575215458171257,-47.444834826988874
Portal de São Clemente,-22.581758902049568,-47.440824108475326
Porto Real,-22.554143183092872,-47.38173969616283
Prefeito Virginio Ometto,-22.581056814219643,-47.50121958707619
Presidente Dutra,-22.57584113713146,-47.37897274701324
Primavera,-22.59439999367834,-47.44164578040942
Queiroz,-22.5514014562064,-47.392647400285114
Ragazzo,-22.53658533346404,-47.38717267386645
Real Park,-22.56614675678965,-47.41075318455256
Recanto Alvorada,-22.601387197097036,-47.39387037123637
Recanto dos Pássaros,-22.615350788247124,-47.41574726813707
Recanto Verde,-22.60207510967848,-47.42736099099359
Regina Bastelli,-22.60695211181403,-47.405206904945395
Vila Rocha,-22.577729119721457,-47.41057553494436
Roland,-22.577795794021792,-47.424728532114486
Marrafon,-22.56929969567341,-47.41922611250344
Rosana,-22.54753576335781,-47.39825569730204
Roseira,-22.59428106964835,-47.42133194573715
Rossi,-22.564596325895053,-47.38578741519692
Rubi,-22.613584430352578,-47.4304040903413
Sabiás,-22.59299528607731,-47.38370738469931
San Marino,-22.5725586771322,-47.41117187228762
Santa Adélia,-22.572366117123785,-47.45249420154315
Santa Barbara,-22.587133296953525,-47.386638212531565
Santa Amália,-22.587024429752066,-47.434725901790294
Santa Catarina,-22.54810088433397,-47.39439292247336
Santa Cecília,-22.566554171695916, -47.41504969118918
Santa Clara,-22.62424200947217,-47.427223958209204
Santa Eulalia,-22.603067908013475,-47.40629119570241
Santa Fé,-22.56541019158286,-47.42280513171507
Santa Josefa,-22.56704304217691,-47.415304159221925
Santa Lina,-22.578455380425286, -47.40320325573585
Vila Santa Lucia,-22.569406737343563,-47.393628419115444
Santa Lúcia,-22.55663332131624,-47.41822963230101
Santa Luiza,-22.557945353207025,-47.41860568465924
Santa Rosália,-22.576277660297766,-47.40575911652108
Santana,-22.55341815056928,-47.410510161248546
Santina Paroli Peccinini,-22.598818160647898,-47.39426052059459
Santo André,-22.547178281599184,-47.41249415483307
São Bento,-22.55212574404713,-47.417835844950076
São Francisco,-22.55649796792715,-47.448509764827264
São Geraldo,-22.57994729038089,-47.395257519603604
Vila São João,-22.563574564564426,-47.41129908583372
Jardim São João,-22.594459309966126,-47.42194010344916
São José,-22.545369208149168,-47.404418170758404
São Lourenço,-22.613343539873107,-47.421758514470056
Jardim São Luiz,-22.580306368366216,-47.38341673993074
Vila São Luiz,-22.57522067350894,-47.396569199767306
São Manoel,-22.582734327379626,-47.40400913550601
São Martino,-22.58607867311457,-47.43929425684505
Jardim São Paulo,-22.562766485462554,-47.42853840085532
São Pedro,-22.57771456293593,-47.38620042386645
São Rafael,-22.54075658362262,-47.425181985226686
São Roque,-22.582199631718236,-47.392106736700796
São Simão,-22.562793447026092,-47.37970134573716
Senador Vergueiro,-22.59133126342803,-47.42739482889499
Vila Solar,-22.581871335593775,-47.3974675642527
Spazio Firenze,-22.558114379852316,-47.43483486869059
Sthalberg,-22.571690236441377,-47.42084851785735
Tancredo Neves,-22.57823157020353,-47.37164332297684
Teixeira Marques,-22.54779828543315,-47.398899932120514
Terras de Santa Elisa,-22.575235756143538,-47.426665430841474
Terras de São Bento,-22.544042643980443,-47.42801263155063
Jardim Vanessa,-22.54099816993894,-47.42399814815367
Victor D'Andrea,-22.594282489205245,-47.40174718351882
Victório Lucato,-22.591536202498983,-47.42474795795549
Vila do Sol,-22.591380773797066,-47.413585274553576
Village,-22.572847088329173,-47.45089759656463
Villagio San Pietro,-22.579937557808655,-47.42522626410259
Vista Alegre,-22.579319179070165,-47.37542856690197
Jardim Vitória,-22.59167488054674,-47.42478014446104
